Month,Day,avg_pm1,avg_pm2,avg_pm3,avg_am,avg_lum,avg_temp,avg_humd,avg_pres,avg_sm
Sep,30,1.413333333,2.253333333,51.55166667,0,3285.416667,21.7415625,95.90989583,93074.46917,3493.770833
Oct,1,1.37212766,2.182340426,51.51095745,0,3035.085106,22.44957447,93.41755319,93135.14298,6196.882979
Oct,2,1.340222222,2.093111111,48.83088889,0,3424.866667,23.12388889,88.95333333,93111.82111,6271.511111
Oct,3,1.334,2.080666667,48.37044444,0,2849.322222,23.48388889,87.07066667,93100.648,6347.244444
Oct,4,1.334,2.080666667,48.162,0,2997.533333,24.11588889,82.183,93070.092,6367.833333
Oct,5,1.334,2.080666667,48.162,0,2811.366667,24.66355556,83.17266667,92994.13589,6374.366667
Oct,6,1.334,2.080666667,48.162,0,3150.766667,22.01277778,95.937,92911.83944,6338.088889
Oct,7,1.334,2.080666667,48.162,0,3653.677778,21.60822222,90.82833333,92968.79289,6252.144444
Oct,8,1.334,2.080666667,48.162,0,2914.122222,23.10977778,84.11022222,93124.14556,6140.711111
Oct,9,1.334,2.080666667,48.162,0,2816.544444,23.72033333,82.33266667,93176.47389,5833.111111
Oct,10,1.362,2.105555556,48.23666667,0,3183.122222,22.74777778,95.21922222,93227.03678,6052.788889
Oct,11,1.313636364,2.093181818,48.84227273,0,3380.238636,23.15488636,93.25056818,93162.43511,6351.227273
Oct,12,1.313636364,2.000909091,47.77,0,3463.102273,22.51227273,95.66056818,93219.10727,6416.704545
Oct,13,1.281294118,1.940117647,45.81270588,0,3174.952941,23.058,91.95258824,93204.92729,6431.235294
Oct,14,1.273333333,1.95,45.41,0,3085,22.39797619,93.58119048,93185.21417,6436.190476
Oct,15,1.281294118,1.940117647,45.53670588,0.169411765,3080.376471,22.92082353,90.43517647,93079.80659,6525.235294
Oct,16,1.281294118,1.913764706,45.35882353,0,3143.694118,23.44376471,88.07082353,93198.18412,6508.282353
Oct,17,1.261529412,1.933529412,45.31929412,0,3509.2,22.65823529,94.49717647,93355.48341,6518.094118
Oct,18,1.29,1.943333333,45.38,0,3210.97619,23.90369048,88.65880952,93378.96857,6576.785714
Oct,19,1.281294118,1.913764706,45.31929412,0,2288.058824,23.81682353,85.77811765,93310.65906,6575.058824
Oct,20,1.281294118,1.940117647,45.33905882,0.592941176,3284.305882,23.03023529,88.10917647,93346.49706,6691.658824
Oct,21,1.27,1.936666667,45.36,1.047619048,2805.47619,23.58321429,87.89940476,93446.00476,6724.154762
Oct,22,1.281294118,1.913764706,45.31929412,1.656470588,3409.129412,23.23952941,84.17470588,93552.53094,6754.411765
Oct,23,1.281294118,1.940117647,45.37858824,1.844705882,1756.505882,21.43682353,74.60670588,93495.59965,6751.070588
Oct,24,1.246585366,1.874878049,44.87756098,1.024390244,1576.426829,20.05987805,74.71097561,93330.54988,6648.109756
Oct,25,1.222,1.838,43.034,0.59,1714.925,20.659125,74.802125,93338.4715,6496.4
Oct,26,1.216329114,1.840126582,42.79316456,1.205063291,1715.683544,20.61670886,71.13886076,93445.73823,6227.987342
Oct,27,1.223417722,1.840126582,42.79316456,1.316455696,1744.113924,20.29556962,71.95683544,93417.97418,5444.962025
Oct,28,1.222,1.838,42.796,1.52,2220.225,20.969375,74.67425,93351.96213,3757.9875
Oct,29,1.222,1.838,42.796,1.72,2473.375,20.954375,77.5035,93330.86413,2683.7125
Oct,30,1.222,1.838,42.796,2.03,1375.4625,21.417625,64.3235,93384.31688,2136.525
Oct,31,1.222,1.838,42.796,1.59,1391.275,20.61525,66.540375,93335.1195,1670.575
Nov,1,1.222,1.838,42.796,1.34,1706.9875,21.355,70.69975,93391.41725,1361.1375
Nov,2,1.222,1.838,42.796,2.14,2064.5,22.8615,77.648625,93345.089,738.0625
Nov,3,1.222,1.838,42.796,1.91,3525.85,22.93875,75.02,93330.66088,609.125
Nov,4,1.222,1.838,42.796,2,2935.2625,22.757875,76.065125,93411.03938,1019.2375
Nov,5,1.196153846,1.820769231,42.58205128,2.184615385,2668.217949,23.37717949,74.58038462,93537.98628,988.7179487
Nov,6,1.146842105,1.736315789,40.85552632,1.652631579,2964.184211,22.72052632,73.69934211,93594.195,965.0263158
Nov,7,1.1772,1.7596,40.5884,1.866533333,1878.826667,21.80373333,64.94893333,93539.83867,941.56
